2020-07-27 10:17:48,676 ERROR START CoDon_ProKafka2FB
2020-07-27 10:17:48,783 ERROR START Send WPN
2020-07-27 10:17:48,783 ERROR END Send WPN
2020-07-27 10:21:50,723 ERROR STOP reload email_ProKafka2FB
2020-07-27 10:21:52,117 ERROR START CoDon_ProKafka2FB
2020-07-27 10:21:52,224 ERROR START Send WPN
2020-07-27 10:21:52,224 ERROR END Send WPN
2020-07-27 10:22:09,378 ERROR STOP reload email_ProKafka2FB
2020-07-27 10:22:22,236 ERROR START CoDon_ProKafka2FB
2020-07-27 10:22:22,445 ERROR START 1
2020-07-27 10:22:23,482 ERROR START 2
2020-07-27 10:22:23,542 ERROR {"Status":false,"Message":"Lỗi parse object list mail"}
2020-07-27 10:22:23,582 ERROR Object reference not set to an instance of an object.
2020-07-27 10:23:23,584 ERROR START 1
2020-07-27 10:23:23,630 ERROR START 2
2020-07-27 10:23:23,639 ERROR {"Status":false,"Message":"Lỗi parse object list mail"}
2020-07-27 10:23:23,639 ERROR Object reference not set to an instance of an object.
2020-07-27 10:23:43,691 ERROR STOP reload email_ProKafka2FB
2020-07-27 10:23:52,689 ERROR START CoDon_ProKafka2FB
2020-07-27 10:23:52,809 ERROR START 1
2020-07-27 10:23:53,430 ERROR []
2020-07-27 10:23:53,469 ERROR {"Status":false,"Message":"Lỗi parse object list mail"}
2020-07-27 10:23:53,507 ERROR Object reference not set to an instance of an object.
2020-07-27 10:24:53,507 ERROR START 1
2020-07-27 10:24:53,552 ERROR []
2020-07-27 10:24:53,561 ERROR {"Status":false,"Message":"Lỗi parse object list mail"}
2020-07-27 10:24:53,561 ERROR Object reference not set to an instance of an object.
2020-07-27 10:25:32,562 ERROR STOP reload email_ProKafka2FB
2020-07-27 10:28:18,265 ERROR START CoDon_ProKafka2FB
2020-07-27 10:28:18,387 ERROR START 1
2020-07-27 10:28:19,016 ERROR ["AXOOT__SEGzBDTotVM33"]
2020-07-27 10:28:19,057 ERROR {"Status":true,"Message":"Thành công","Data":[{"Id":"AXOOT__SEGzBDTotVM33","Email":"whyalwayme106@gmail.com","Status":4}]}
2020-07-27 10:28:19,178 ERROR START 3
2020-07-27 10:29:19,179 ERROR START 1
2020-07-27 10:29:19,223 ERROR START 3
2020-07-27 10:30:19,224 ERROR START 1
2020-07-27 10:30:19,267 ERROR START 3
2020-07-27 10:31:19,268 ERROR START 1
2020-07-27 10:31:19,311 ERROR START 3
2020-07-27 10:32:19,311 ERROR START 1
2020-07-27 10:32:19,354 ERROR START 3
2020-07-27 10:33:19,355 ERROR START 1
2020-07-27 10:33:19,398 ERROR START 3
2020-07-27 10:34:19,399 ERROR START 1
2020-07-27 10:34:19,444 ERROR START 3
2020-07-27 10:35:19,445 ERROR START 1
2020-07-27 10:35:19,488 ERROR START 3
2020-07-27 10:36:19,489 ERROR START 1
